"xxx室のラックの電源使用状況"

"コンセント 654(2口, 20A)","UPS(オムロン\n消費:1200VA, 出力:700W)","電源タップ(6口)","ディスプレイ切替器(10W)"
"                        ","                                                ","                      ","a1 (? W)"
"                        ","                                                ","                      ","a2 (200W ?)"
"                        ","                                                ","                      ","a3 (200W ?)"
"                        ","                                                ","b1 (? W)"
"コンセント 655(2口x3, 20A)","UPS(APC, 白,\n消費:900W, 出力:450W)","c1 (260W)"
"                          ","                                    ","c2 (70W)"
"                          ","                                    ","ハブ(50W)"
"                          ","                                    ","ハブ(70W)"
"                          ","UPS(APC, 黒,\n消費:900W, 出力:500W)","d1 (230W)"
"                          ","                                    ","d2 (140W ?)"
"                          ","                                    ","d3 (88W ?)"
"コンセント 656(4口, 20A)","UPS(オムロン\n消費:1200VA, 出力:700W)","e1 (? W)"
"                        ","                                                ","e2 (280W)"
"                        ","                                                ","e3 (? W)"
"                        ","電源タップ"
"                        ","電源タップ","液晶モニタ"
"                        ","           ","液晶モニタ"
"                        ","           ","ルータ"
"                        ","           ","f1 (? W)"
